Transcript_ID,Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
ENSMUST00000015467.9,Slc39a1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000015645.11,Hivep2,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000015712.15,Lpl,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000015749.7,Srf,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000015791.6,Lama5,1,0,1,0,1,1,1,0,0,0,0,0
ENSMUST00000015800.16,Hspa8,2,2,1,2,0,0,3,1,0,1,2,1
ENSMUST00000015877.14,Capza2,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000015901.11,Ppil4,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUST00000015981.12,Sqstm1,0,0,1,0,0,0,0,1,0,0,0,0
ENSMUST00000016033.9,Lta4h,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000016072.12,Rrbp1,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000016086.10,Gtf2ird2,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000016105.9,Adss,0,0,0,0,0,1,0,1,0,0,0,0
ENSMUST00000016168.9,Lbp,0,0,0,1,0,1,0,0,0,0,0,0
ENSMUST00000016315.16,Lamb3,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000016397.7,Nelfcd,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000016463.4,Slc25a5,2,0,0,0,0,0,0,0,3,0,0,0
ENSMUST00000016703.8,H3f3b,0,0,1,2,0,0,0,1,0,1,0,0
ENSMUST00000016771.13,Myh9,1,1,0,1,0,0,0,1,2,2,2,1
ENSMUST00000017090.6,Kctd5,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000017153.4,Sdc4,0,0,1,0,0,1,0,0,0,0,1,0
ENSMUST00000017316.7,Aoc3,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000017530.4,Traf4,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUST00000017534.15,Aldoc,0,1,0,0,0,1,0,0,0,0,0,0
ENSMUST00000017548.7,Rpl19,0,0,0,0,1,0,0,0,0,2,0,0
ENSMUST00000017567.14,Zfp207,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000017610.10,Timp2,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000017629.12,Top2b,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000017751.3,Tns4,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000017821.12,Wsb1,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000017851.4,Serinc3,2,1,0,0,0,0,0,0,0,1,0,0
ENSMUST00000017867.10,Wfdc2,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000017961.11,Jph2,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000017975.7,Rab5a,0,0,0,0,1,0,0,0,0,0,0,0
