Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
Ap2a1,0,0,0,0,0,0,0,0,0,1,0,0
Ap2b1,0,0,0,0,0,0,0,0,0,0,0,1
Ap3d1,0,0,0,1,1,0,0,0,0,0,0,1
Apbb1,0,0,0,0,0,0,0,0,1,0,0,0
Apc,1,0,0,0,0,0,0,0,0,0,0,0
Apcdd1,0,0,0,0,0,0,0,0,0,0,1,0
Apeh,0,0,0,0,0,0,0,0,0,1,0,0
Apex1,0,0,0,0,0,0,0,0,0,0,1,0
Aplp2,0,0,0,0,0,1,2,0,1,0,0,2
Apoc1,0,0,0,0,0,0,0,0,0,1,0,1
Apod,0,0,0,0,0,0,0,0,0,1,0,0
Apoe,0,0,0,0,0,0,1,0,1,0,0,1
Apol10b,0,0,0,0,0,0,0,0,0,1,0,0
App,1,2,0,0,0,0,0,1,0,0,3,0
Appl2,0,0,0,0,1,0,0,0,0,0,0,0
Aqp1,0,0,0,0,0,0,0,1,0,0,0,1
Aqp3,0,0,0,0,1,0,0,0,0,0,0,0
Ar,0,0,0,0,0,0,0,0,0,0,1,0
Arc,0,0,0,0,0,0,0,1,1,0,0,0
Arf1,0,0,0,0,0,0,0,0,1,1,0,0
Arf2,0,0,0,1,0,0,0,0,0,0,0,0
Arf6,0,0,0,0,0,0,0,0,1,0,0,1
Arfip2,0,0,0,0,0,0,0,0,0,0,0,1
Arhgap10,0,0,0,0,0,0,0,0,0,0,0,1
Arhgap21,1,0,0,0,0,0,0,0,0,0,0,0
Arhgap23,0,0,1,0,0,0,0,0,0,0,0,0
Arhgap24,0,0,0,0,0,0,0,0,0,0,0,1
Arhgap29,0,0,0,0,0,0,0,1,0,0,0,0
Arhgap32,0,0,0,0,0,0,0,0,0,0,1,0
Arhgap45,0,0,0,1,0,0,0,0,0,0,0,0
Arhgap5,0,1,0,0,0,0,0,0,0,0,0,0
Arhgef1,0,0,0,0,0,0,0,0,0,0,1,0
Arhgef11,0,0,0,0,0,0,0,0,0,0,0,1
Arhgef12,0,0,1,0,0,0,0,0,1,0,0,0
Arhgef17,0,0,0,0,0,0,0,0,1,0,0,0
Arhgef18,0,0,0,0,0,0,0,0,0,0,1,0
Arhgef19,0,0,0,0,0,0,0,0,1,0,0,0
Arhgef26,1,0,0,0,0,0,0,0,0,0,0,0
Arhgef3,0,1,0,0,0,0,0,0,0,0,0,0
Arhgef40,0,0,0,0,0,0,0,0,0,0,1,0
Arhgef5,0,0,1,1,0,0,0,1,0,0,0,0
Arhgef6,0,1,0,0,0,0,0,0,0,0,0,0
Arid1b,0,0,0,0,0,0,0,1,1,0,0,0
Arid2,0,0,0,0,0,0,0,0,0,0,1,0
Arid5a,0,0,0,0,0,0,1,0,0,0,0,0
Arid5b,0,0,0,0,0,0,0,0,1,0,0,1
Arl13b,0,0,0,0,0,0,0,0,0,1,0,0
Arl4d,0,0,0,0,0,0,0,1,1,0,0,1
Armc1,0,0,0,0,0,0,0,0,0,1,0,0
Arnt,0,0,0,0,0,0,0,0,0,1,0,0
Arpc1a,0,0,0,0,0,0,0,0,0,1,0,0
Arpc1b,1,1,0,0,0,0,0,0,0,0,0,0
Arpc2,1,1,0,0,0,0,0,1,0,1,0,0
Arpc3,0,0,1,0,0,0,0,0,0,0,0,0
Arrdc1,0,0,0,0,1,0,0,0,0,0,0,0
Arvcf,0,0,0,1,0,0,0,0,0,0,0,0
Asb1,1,0,0,0,0,0,0,0,0,0,0,0
Ascc3,0,0,0,0,0,0,1,0,0,0,0,0
Ash2l,0,0,0,0,0,0,0,0,1,0,0,0
Asl,0,0,0,0,0,0,1,0,0,0,0,0
Asns,0,0,0,0,0,0,0,0,0,0,0,1
Asph,0,0,0,0,0,0,0,0,0,0,0,1
Aspscr1,0,0,0,0,1,0,0,0,0,0,0,0
Ass1,0,0,0,0,0,0,0,1,0,0,0,0
Asxl1,0,0,0,1,0,0,0,0,0,0,0,1
Atad1,0,0,0,1,0,0,0,0,0,0,0,0
Atad3a,0,0,0,0,1,0,0,0,0,0,0,0
Atf3,1,0,0,0,0,0,1,0,0,0,0,0
Atf4,1,1,0,0,0,0,1,2,0,1,1,1
Atf7ip,0,0,0,0,0,0,0,0,1,0,0,0
Atg2a,1,0,0,0,0,0,0,0,0,0,0,0
Atg2b,0,0,0,1,1,0,0,0,0,0,1,0
Atg3,0,0,0,0,0,0,0,0,0,1,0,1
Atic,0,0,0,0,0,0,0,1,0,0,0,0
Atl3,0,0,0,0,0,0,0,0,0,0,1,0
Atp11a,0,0,0,0,0,0,0,0,0,0,0,1
Atp11b,0,0,0,0,0,0,1,0,0,0,0,0
Atp13a3,1,0,0,0,0,0,0,0,0,1,0,0
Atp13a4,0,0,0,0,0,1,0,0,0,0,0,0
Atp1a1,0,2,0,0,0,1,0,3,2,2,1,1
Atp1b1,0,0,1,0,0,0,0,0,0,1,0,0
Atp1b3,0,0,0,0,0,0,0,0,0,1,0,0
Atp2a2,1,1,1,0,0,0,0,1,2,1,0,0
Atp2c1,0,0,0,0,0,1,0,0,0,0,0,0
Atp2c2,0,0,0,0,0,1,0,0,0,0,0,0
Atp5a1,0,0,1,0,0,0,1,0,0,0,0,1
Atp5b,1,2,0,1,0,1,0,1,3,1,0,0
Atp5c1,0,0,1,1,0,0,0,0,0,0,0,0
Atp5d,0,0,0,0,0,0,0,0,1,0,0,0
Atp5g1,0,0,0,0,1,0,0,0,0,0,0,0
Atp5g2,1,0,0,0,0,0,0,0,0,0,0,0
Atp5g3,0,0,0,0,0,1,0,0,0,0,0,0
Atp5h,0,0,0,0,0,0,0,0,0,0,0,1
Atp5j,0,0,0,1,0,0,0,0,0,0,0,0
Atp5j2,0,1,0,0,0,0,0,0,0,0,0,0
Atp5pb,0,0,0,0,0,0,0,0,0,1,0,0
Atp6ap2,0,1,0,0,0,0,0,0,0,0,0,0
Atp6v0a1,0,0,1,0,0,1,0,0,0,0,0,0
Atp6v0a2,0,0,0,1,0,0,0,0,0,0,0,0
Atp6v0c,0,1,0,0,0,0,0,0,0,0,2,0
Atp6v1b2,0,0,1,0,0,0,0,0,0,0,0,0
Atp9a,0,0,0,0,0,0,1,0,0,0,0,0
Atpif1,0,0,0,1,0,0,0,0,0,0,0,0
Atr,0,0,0,0,0,0,0,0,0,0,1,0
Atrn,0,0,0,0,1,0,0,0,0,0,0,0
Atrx,0,0,0,0,0,0,1,0,0,0,0,0
Atxn2l,0,0,0,0,0,0,0,0,0,0,0,1
Aup1,0,0,0,0,0,0,0,0,0,0,1,0
Aurkaip1,0,0,0,0,0,0,0,0,0,0,0,1
Auts2,0,0,0,0,0,0,0,0,0,1,0,0
Axin1,0,1,0,0,0,0,0,0,0,0,0,0
B2m,0,0,1,0,0,0,0,0,0,0,0,0
B4galt1,0,0,0,0,1,0,0,0,0,0,0,0
BC005537,0,1,0,0,0,0,1,0,0,0,0,0
Bach1,0,0,0,0,0,0,1,0,0,0,0,0
Bag1,0,1,0,0,1,0,0,0,0,0,0,0
Bag3,0,0,0,0,0,0,1,0,1,0,0,0
Banf1,0,0,1,0,0,0,0,0,0,0,0,0
Baz1a,0,0,1,0,0,0,1,0,0,0,0,0
Baz2b,0,0,0,1,1,0,0,0,0,0,0,0
Bcap31,0,0,0,0,0,0,0,0,0,0,0,1
Bcar1,0,1,0,1,0,0,0,1,0,1,0,0
Bcas3,0,0,0,0,0,0,0,0,0,0,1,0
Bckdk,0,0,0,0,0,0,0,0,0,1,0,0
Bcl2l1,0,0,1,0,0,0,0,0,0,0,0,0
Bcl3,0,0,1,0,0,0,0,0,0,0,0,0
Bcl7b,0,0,0,0,0,0,0,1,0,0,0,0
Bclaf1,0,2,0,0,0,0,0,0,0,0,0,0
Bgn,0,0,0,0,0,0,0,0,0,0,0,2
Bhlhb9,0,0,0,0,0,0,0,0,0,0,0,1
Bhlhe40,0,0,0,1,0,0,0,0,0,1,0,2
Bhlhe41,0,0,0,0,0,0,0,0,0,0,1,0
Bicral,0,0,0,0,0,0,0,1,0,0,0,0
Birc3,0,0,0,1,0,0,0,0,0,0,0,0
Bmp7,0,0,0,0,0,0,0,0,0,0,1,0
Bmpr1a,0,0,0,0,1,0,0,0,0,0,0,0
Bmpr2,0,0,0,0,0,0,0,0,0,1,0,0
Bms1,0,0,1,0,0,0,0,0,0,0,0,0
Bnip2,0,0,0,0,0,0,1,0,0,0,0,0
Bnipl,0,0,1,0,0,0,0,0,0,0,0,0
Boc,0,0,0,0,0,0,0,0,0,0,0,1
Bop1,0,0,0,0,0,0,0,0,0,0,0,1
Bptf,0,0,1,0,0,0,0,1,2,0,0,0
Brap,1,0,0,0,0,0,0,0,0,0,0,0
Brd2,0,0,0,0,0,0,2,0,0,0,0,0
Brd3,0,0,0,0,0,0,0,0,0,0,0,1
Brd4,0,0,0,0,0,0,0,0,0,0,1,0
Brd7,0,0,0,0,0,0,0,0,0,0,1,0
Brd8,0,0,1,0,0,0,0,0,0,0,0,0
Brwd1,0,0,0,0,0,0,0,0,0,1,0,0
Bsdc1,0,0,0,0,0,0,0,0,0,0,1,0
Bsg,1,0,0,0,0,0,0,0,0,0,0,0
Bspry,0,1,0,0,0,0,0,0,0,0,0,0
Btbd3,1,0,0,0,0,0,0,0,0,0,0,0
Btf3,0,0,0,1,0,0,0,0,0,0,0,0
Btg2,1,0,0,0,0,0,0,0,0,0,0,0
Btg3,0,0,0,0,1,0,1,0,0,0,0,0
Btn1a1,1,0,1,0,2,0,0,0,0,0,0,0
Bub1,0,0,0,0,0,0,0,0,0,1,0,0
Bzw1,0,1,0,0,0,0,0,0,0,1,0,0
Bzw2,0,1,0,0,0,0,0,0,0,0,0,0
